steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s,beats_all_fixed
2010000,High,763743,993510287.0,134642822.0,-637.9,87516601.0,-1035.2,71047799.0,-1298.4,False
2020000,Low,647392,882280952.0,16668725.0,-5193.0,8564884.0,-10201.1,6236519.0,-14047.0,False
2030000,Medium,528865,944238784.0,47684399.0,-1880.2,33669338.0,-2704.4,26712460.0,-3434.8,False
2040000,High,671378,1001371027.0,128225395.0,-680.9,84123303.0,-1090.4,67952806.0,-1373.6,False
2050000,Low,440003,914163915.0,14545442.0,-6184.9,6873330.0,-13200.2,5192404.0,-17505.8,False
2060000,Medium,294254,946235333.0,45233138.0,-1991.9,31695114.0,-2885.4,26240194.0,-3506.1,False
2070000,High,419395,991354959.0,132248936.0,-649.6,84421463.0,-1074.3,62878027.0,-1476.6,False
2080000,Low,171215,914420510.0,11123911.0,-8120.3,7203305.0,-12594.5,4451920.0,-20439.9,False
2090000,Medium,79272,943217615.0,46473864.0,-1929.6,32520622.0,-2800.4,26154123.0,-3506.4,False
2100000,High,123599,992485083.0,122095734.0,-712.9,78782430.0,-1159.8,64945656.0,-1428.2,False
2110000,Low,760346,902445992.0,17263001.0,-5127.6,7722444.0,-11586.0,6409415.0,-13980.0,False
2120000,Medium,320031,56417085.0,44334118.0,-27.3,32166475.0,-75.4,26128163.0,-115.9,False
2130000,High,316172,151872238.0,130177043.0,-16.7,83269660.0,-82.4,66009680.0,-130.1,False
2140000,Low,520406,906636120.0,13338067.0,-6697.4,7721955.0,-11641.0,5967230.0,-15093.6,False
2150000,Medium,66419,87735805.0,51065470.0,-71.8,37102322.0,-136.5,32773534.0,-167.7,False
2160000,High,366038,989380605.0,127409436.0,-676.5,84184159.0,-1075.3,68186179.0,-1351.0,False
2170000,Low,211618,905063071.0,15825505.0,-5619.0,5431490.0,-16563.3,4187391.0,-21514.0,False
2180000,Medium,193299,938733541.0,48068569.0,-1852.9,34170071.0,-2647.2,28605989.0,-3181.6,False
2190000,High,840096,990702344.0,124359826.0,-696.6,78752603.0,-1158.0,65117199.0,-1421.4,False
2200000,Low,60786,901397328.0,14309738.0,-6199.2,5550336.0,-16140.4,4017128.0,-22338.9,False
2210000,Medium,292817,939924977.0,46544311.0,-1919.4,32237439.0,-2815.6,24813427.0,-3688.0,False
2220000,High,422950,974104490.0,120601058.0,-707.7,77093892.0,-1163.5,64197162.0,-1417.4,False
2230000,Low,550105,892491681.0,15632715.0,-5609.1,5053034.0,-17562.5,3915016.0,-22696.6,False
2240000,Medium,739712,944613257.0,48934440.0,-1830.4,30668074.0,-2980.1,22937082.0,-4018.3,False
2250000,High,696842,150010246.0,127694508.0,-17.5,82881766.0,-81.0,68894543.0,-117.7,False
2260000,Low,180271,925375437.0,14136910.0,-6445.8,7890119.0,-11628.3,6003685.0,-15313.5,False
2270000,Medium,510327,59382388.0,45442322.0,-30.7,34808845.0,-70.6,28395498.0,-109.1,False
2280000,High,89841,142048500.0,124858054.0,-13.8,77685805.0,-82.9,64586765.0,-119.9,False
2290000,Low,189356,29965923.0,14186308.0,-111.2,6152361.0,-387.1,3963469.0,-656.1,False
2300000,Medium,123533,60946068.0,49547018.0,-23.0,33827257.0,-80.2,28843386.0,-111.3,False
2310000,High,168175,147860715.0,131444829.0,-12.5,82178983.0,-79.9,67751666.0,-118.2,False
2320000,Low,399569,34142060.0,13490218.0,-153.1,7450527.0,-358.3,4072335.0,-738.4,False
2330000,Medium,101624,59655308.0,47357761.0,-26.0,35678444.0,-67.2,28123215.0,-112.1,False
2340000,High,575897,137306516.0,117745212.0,-16.6,76627375.0,-79.2,64217783.0,-113.8,False
2350000,Low,871619,39744017.0,15435962.0,-157.5,7471414.0,-431.9,4596735.0,-764.6,False
2360000,Medium,508634,57354622.0,44325601.0,-29.4,30287573.0,-89.4,23526033.0,-143.8,False
2370000,High,865406,160375846.0,118909869.0,-34.9,77229172.0,-107.7,62972362.0,-154.7,False
2380000,Low,680875,41341885.0,14636963.0,-182.4,9481441.0,-336.0,7013502.0,-489.5,False
2390000,Medium,440401,59429166.0,47577338.0,-24.9,34772616.0,-70.9,28826959.0,-106.2,False
2400000,High,111740,121446453.0,120816991.0,-0.5,78513768.0,-54.7,64363407.0,-88.7,False
2410000,Low,607537,44097946.0,16756954.0,-163.2,10797078.0,-308.4,8670929.0,-408.6,False
2420000,Medium,467475,63160326.0,44656873.0,-41.4,31513448.0,-100.4,24651422.0,-156.2,False
2430000,High,281910,130907187.0,123229152.0,-6.2,79059289.0,-65.6,64835359.0,-101.9,False
2440000,Low,22552,37845600.0,14223587.0,-166.1,7425034.0,-409.7,6584008.0,-474.8,False
2450000,Medium,937766,64642723.0,50717426.0,-27.5,36205210.0,-78.5,28175757.0,-129.4,False
2460000,High,643215,126742843.0,120135844.0,-5.5,77715209.0,-63.1,64553538.0,-96.3,False
2470000,Low,148862,916299271.0,15830152.0,-5688.3,7851734.0,-11570.0,5510187.0,-16529.2,False
2480000,Medium,652582,945672422.0,48409937.0,-1853.5,36368670.0,-2500.2,31887023.0,-2865.7,False
2490000,High,473097,989111636.0,120319316.0,-722.1,76516256.0,-1192.7,62511318.0,-1482.3,False
2500000,Low,480313,857422150.0,13916504.0,-6061.2,7537350.0,-11275.6,6460882.0,-13171.0,False
2510000,Medium,976897,945567584.0,49893662.0,-1795.2,35592609.0,-2556.6,30488137.0,-3001.4,False
2520000,High,338971,990716882.0,114745339.0,-763.4,77883958.0,-1172.0,65844775.0,-1404.6,False
2530000,Low,408410,925099237.0,14793450.0,-6153.4,4756032.0,-19351.1,3859382.0,-23870.1,False
2540000,Medium,243221,942347435.0,46478037.0,-1927.5,33946629.0,-2676.0,28483683.0,-3208.4,False
2550000,High,35575,991653956.0,123330741.0,-704.1,78779554.0,-1158.8,64873721.0,-1428.6,False
2560000,Low,920609,904492314.0,15500935.0,-5735.1,7970329.0,-11248.2,4128079.0,-21810.7,False
2570000,Medium,583169,942567922.0,49218209.0,-1815.1,35036289.0,-2590.3,28515013.0,-3205.5,False
2580000,High,905690,987807666.0,125748602.0,-685.5,83372439.0,-1084.8,68111093.0,-1350.3,False
