model,scenario,seed,total_wait,arrived,switches
ck230000,High,123,962655985.0,1392,513
ck230000,High,42,961433489.0,1518,523
ck250000,Low,42,926866965.0,594,355
ck250000,Low,123,918462168.0,557,362
ck250000,Medium,42,938430696.0,923,357
ck250000,Medium,123,922838006.0,790,379
ck250000,High,42,962702857.0,1480,378
ck250000,High,123,960871136.0,1438,372
ck270000,Low,42,926893690.0,593,356
ck270000,Low,123,918650061.0,577,362
ck270000,Medium,42,938430696.0,923,357
ck270000,Medium,123,922838006.0,790,379
ck270000,High,42,962147806.0,1442,387
ck270000,High,123,961705372.0,1375,379
ck290000,Low,42,927133997.0,597,505
ck290000,Low,123,918987168.0,588,504
ck290000,Medium,42,938430696.0,923,512
ck290000,Medium,123,901429017.0,884,542
ck310000,Medium,123,130703900.0,1007,316
ck290000,High,42,962098012.0,1446,512
ck290000,High,123,964754503.0,1382,519
ck310000,Low,42,927760466.0,557,1165
ck310000,Low,123,919086147.0,552,1172
ck310000,Medium,42,941246541.0,888,1159
ck310000,High,123,236531841.0,1728,546
ck310000,High,42,896977824.0,1542,1121
ck330000,Low,42,927760466.0,557,1165
ck330000,Low,123,919086147.0,552,1172
ck330000,Medium,123,129603772.0,983,316
ck330000,High,123,233575826.0,1701,531
ck330000,Medium,42,944793693.0,864,1145
ck350000,Low,42,927760466.0,557,490
ck330000,High,42,896977824.0,1542,1121
ck350000,Medium,123,122501754.0,1049,297
ck350000,Low,123,919084797.0,615,498
ck350000,Medium,42,944793693.0,864,489
ck350000,High,42,240119527.0,1769,549
ck350000,High,123,231899095.0,1704,531
ck370000,Low,42,927680060.0,607,493
ck370000,Low,123,919352105.0,600,502
ck370000,Medium,42,939351501.0,898,505
ck370000,Medium,123,924571840.0,800,529
ck390000,Medium,123,101708547.0,1013,259
ck370000,High,42,962512164.0,1502,520
ck390000,Low,42,927760466.0,557,490
ck370000,High,123,962947038.0,1395,512
ck390000,Low,123,919169420.0,565,497
ck390000,High,42,240494674.0,1807,545
ck390000,Medium,42,944793693.0,864,489
ck390000,High,123,229140512.0,1767,522
ck410000,Low,42,927499209.0,622,343
ck410000,Low,123,918950286.0,612,348
ck410000,Medium,42,938423022.0,891,357
ck410000,Medium,123,922838006.0,790,379
ck430000,Low,42,927094021.0,597,355
ck410000,High,42,956487480.0,1535,395
ck410000,High,123,962108117.0,1431,370
ck430000,Low,123,918788114.0,570,357
ck430000,Medium,42,939083713.0,886,358
ck430000,Medium,123,922838006.0,790,379
ck430000,High,42,963669000.0,1417,389
ck450000,Low,42,927550916.0,595,496
ck430000,High,123,964704669.0,1387,377
ck450000,Low,123,919111049.0,559,501
ck450000,Medium,42,938463209.0,920,512
ck450000,Medium,123,923273396.0,808,533
ck470000,Low,42,927045669.0,596,350
ck450000,High,42,961771699.0,1412,521
ck450000,High,123,962947038.0,1395,512
ck470000,Low,123,918827122.0,575,357
ck470000,Medium,42,938430696.0,923,357
ck470000,Medium,123,922838006.0,790,379
ck470000,High,123,962959980.0,1396,375
ck490000,Low,42,927680060.0,607,493
ck470000,High,42,961681146.0,1515,388
ck490000,Low,123,919195530.0,589,500
ck490000,Medium,42,938961315.0,931,508
ck490000,Medium,123,908157792.0,847,542
ck490000,High,42,963796764.0,1427,507
ck490000,High,123,966536689.0,1396,513
ck510000,Medium,123,109184504.0,942,277
ck510000,Low,42,927760466.0,557,490
ck510000,Low,123,919086147.0,552,495
