steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
1430000,Low,46959058.0,13323576.0,-252.5,4299201.5,-992.3,3709842.5,-1165.8
1450000,Low,51053564.0,13323576.0,-283.2,4299201.5,-1087.5,3709842.5,-1276.2
1470000,Low,51419379.5,13323576.0,-285.9,4299201.5,-1096.0,3709842.5,-1286.0
1490000,Low,51545894.0,13323576.0,-286.9,4299201.5,-1099.0,3709842.5,-1289.4
1510000,Low,50417121.5,13323576.0,-278.4,4299201.5,-1072.7,3709842.5,-1259.0
1530000,Low,5121354.0,13323576.0,61.6,4299201.5,-19.1,3709842.5,-38.0
1550000,Low,4572620.5,13323576.0,65.7,4299201.5,-6.4,3709842.5,-23.3
1570000,Low,4270150.0,13323576.0,68.0,4299201.5,0.7,3709842.5,-15.1
1590000,Low,51149537.5,13323576.0,-283.9,4299201.5,-1089.7,3709842.5,-1278.8
1610000,Low,50914009.5,13323576.0,-282.1,4299201.5,-1084.3,3709842.5,-1272.4
1630000,Low,49915621.0,13323576.0,-274.6,4299201.5,-1061.0,3709842.5,-1245.5
1650000,Low,51202137.0,13323576.0,-284.3,4299201.5,-1091.0,3709842.5,-1280.2
1670000,Low,3979550.5,13323576.0,70.1,4299201.5,7.4,3709842.5,-7.3
1690000,Low,3994547.5,13323576.0,70.0,4299201.5,7.1,3709842.5,-7.7
1710000,Low,3994547.5,13323576.0,70.0,4299201.5,7.1,3709842.5,-7.7
1730000,Low,3941836.0,13323576.0,70.4,4299201.5,8.3,3709842.5,-6.3
1750000,Low,4439890.0,13323576.0,66.7,4299201.5,-3.3,3709842.5,-19.7
1770000,Low,3941836.0,13323576.0,70.4,4299201.5,8.3,3709842.5,-6.3
1790000,Low,36054761.0,13323576.0,-170.6,4299201.5,-738.6,3709842.5,-871.9
1810000,Low,31353880.5,13323576.0,-135.3,4299201.5,-629.3,3709842.5,-745.2
1830000,Low,17819501.0,13323576.0,-33.7,4299201.5,-314.5,3709842.5,-380.3
1850000,Low,925072031.5,13323576.0,-6843.1,4299201.5,-21417.3,3709842.5,-24835.6
1870000,Low,924995756.0,13323576.0,-6842.5,4299201.5,-21415.5,3709842.5,-24833.6
1890000,Low,924959561.5,13323576.0,-6842.3,4299201.5,-21414.7,3709842.5,-24832.6
1910000,Low,924483698.5,13323576.0,-6838.7,4299201.5,-21403.6,3709842.5,-24819.8
1930000,Low,923474292.5,13323576.0,-6831.1,4299201.5,-21380.1,3709842.5,-24792.5
1950000,Low,924956188.0,13323576.0,-6842.3,4299201.5,-21414.6,3709842.5,-24832.5
1970000,Low,924995756.0,13323576.0,-6842.5,4299201.5,-21415.5,3709842.5,-24833.6
1990000,Low,924966307.0,13323576.0,-6842.3,4299201.5,-21414.8,3709842.5,-24832.8
2010000,Low,925043269.0,13323576.0,-6842.9,4299201.5,-21416.6,3709842.5,-24834.8
2030000,Low,925031584.5,13323576.0,-6842.8,4299201.5,-21416.4,3709842.5,-24834.5
2050000,Low,925031584.5,13323576.0,-6842.8,4299201.5,-21416.4,3709842.5,-24834.5
2070000,Low,923517355.0,13323576.0,-6831.5,4299201.5,-21381.1,3709842.5,-24793.7
2090000,Low,923426868.0,13323576.0,-6830.8,4299201.5,-21379.0,3709842.5,-24791.3
2110000,Low,923474292.5,13323576.0,-6831.1,4299201.5,-21380.1,3709842.5,-24792.5
2130000,Low,923474292.5,13323576.0,-6831.1,4299201.5,-21380.1,3709842.5,-24792.5
2150000,Low,923474292.5,13323576.0,-6831.1,4299201.5,-21380.1,3709842.5,-24792.5
2170000,Low,923474292.5,13323576.0,-6831.1,4299201.5,-21380.1,3709842.5,-24792.5
2190000,Low,923640993.5,13323576.0,-6832.4,4299201.5,-21384.0,3709842.5,-24797.0
2210000,Low,923524019.5,13323576.0,-6831.5,4299201.5,-21381.3,3709842.5,-24793.9
2230000,Low,923474292.5,13323576.0,-6831.1,4299201.5,-21380.1,3709842.5,-24792.5
2250000,Low,923474292.5,13323576.0,-6831.1,4299201.5,-21380.1,3709842.5,-24792.5
2270000,Low,923518419.5,13323576.0,-6831.5,4299201.5,-21381.2,3709842.5,-24793.7
2290000,Low,923518419.5,13323576.0,-6831.5,4299201.5,-21381.2,3709842.5,-24793.7
2310000,Low,923474292.5,13323576.0,-6831.1,4299201.5,-21380.1,3709842.5,-24792.5
2330000,Low,477697030.0,13323576.0,-3485.4,4299201.5,-11011.3,3709842.5,-12776.5
2350000,Low,478301840.0,13323576.0,-3489.9,4299201.5,-11025.4,3709842.5,-12792.8
2370000,Low,480849585.5,13323576.0,-3509.0,4299201.5,-11084.6,3709842.5,-12861.5
2390000,Low,480740371.0,13323576.0,-3508.2,4299201.5,-11082.1,3709842.5,-12858.5
